,Date,Rate_Change
0,2016-03-31,
1,2016-06-30,-0.010999999999999233
2,2016-09-30,-0.4900000000000002
3,2016-12-31,-0.4460000000000006
4,2017-03-31,0.1460000000000008
5,2017-06-30,-0.14700000000000024
6,2017-09-30,0.15200000000000014
7,2017-12-31,0.6629999999999994
8,2018-03-31,0.07200000000000006
9,2018-06-30,0.5049999999999999
10,2018-09-30,0.12099999999999955
11,2018-12-31,-0.653999999999999
12,2019-03-31,-0.02400000000000002
13,2019-06-30,-0.4670000000000005
14,2019-09-30,-0.18399999999999928
15,2019-12-31,-0.14100000000000001
16,2020-03-31,-0.41600000000000037
17,2020-06-30,-0.25
18,2020-09-30,0.12699999999999978
19,2020-12-31,-0.12099999999999955
20,2021-03-31,0.2829999999999995
21,2021-06-30,-0.12599999999999945
22,2021-09-30,0.1719999999999997
23,2021-12-31,0.23099999999999987
24,2022-03-31,0.38900000000000023
25,2022-06-30,0.6070000000000002
26,2022-09-30,-0.05200000000000049
27,2022-12-31,-0.07099999999999973
28,2023-03-31,-0.011999999999999567
29,2023-06-30,-0.20500000000000007
30,2023-09-30,0.09999999999999964
31,2023-12-31,-0.03399999999999981
32,2024-03-31,-0.12400000000000055
33,2024-06-30,-0.043999999999999595
34,2024-09-30,-0.258
35,2024-12-31,0.009999999999999787
36,2025-03-31,-0.1899999999999995
37,2025-06-30,-0.25400000000000045
38,2025-09-30,0.2549999999999999
39,2025-12-31,0.017000000000000348
