,Date,USDINR_Change
0,2016-03-31,
1,2016-06-30,0.015790805962901944
2,2016-09-30,-0.008895528130959063
3,2016-12-31,0.0167129761470588
4,2017-03-31,-0.04626614169584986
5,2017-06-30,-7.559918536581556e-05
6,2017-09-30,0.008873919170823807
7,2017-12-31,-0.0198593044410873
8,2018-03-31,0.015110398876515552
9,2018-06-30,0.05792250984676439
10,2018-09-30,0.06037059122105104
11,2018-12-31,-0.041500979637307256
12,2019-03-31,-0.006042412766470995
13,2019-06-30,-0.0025180295216951087
14,2019-09-30,0.016930488371514674
15,2019-12-31,0.011522112772966997
16,2020-03-31,0.05734044801069871
17,2020-06-30,0.003978719048968626
18,2020-09-30,-0.02450456806236556
19,2020-12-31,-0.009628255445907064
20,2021-03-31,0.004256495531941962
21,2021-06-30,0.011468405012682537
22,2021-09-30,0.000463077835691994
23,2021-12-31,0.0014692759342909145
24,2022-03-31,0.018763621319975776
25,2022-06-30,0.040493108845736536
26,2022-09-30,0.03272945390731086
27,2022-12-31,0.016623586996977968
28,2023-03-31,-0.00886817626602121
29,2023-06-30,-0.0003057314802226152
30,2023-09-30,0.013616741063938065
31,2023-12-31,-0.010710021658482005
32,2024-03-31,0.013256005475973609
33,2024-06-30,0.0006942966036187492
34,2024-09-30,0.003181546736372942
35,2024-12-31,0.024728703760071635
36,2025-03-31,-0.0028885060156679243
37,2025-06-30,-0.0009762086926367042
38,2025-09-30,0.038022205027017364
39,2025-12-31,0.012005064904190954
40,2026-03-31,0.023734144806482504
