Date,IIP_Growth
2012-06-30,2.1999999999999997
2012-09-30,0.13333333333333333
2012-12-31,3.033333333333333
2013-03-31,7.933333333333333
2013-06-30,1.0999999999999999
2013-09-30,4.8
2013-12-31,3.033333333333333
2014-03-31,4.3
2014-06-30,5.633333333333333
2014-09-30,4.3999999999999995
2014-12-31,3.9
2015-03-31,2.4
2015-06-30,1.1666666666666667
2015-09-30,2.4
2015-12-31,4.3
2016-03-31,5.466666666666666
2016-06-30,7.1000000000000005
2016-09-30,4.5
2016-12-31,3.9
2017-03-31,3.0333333333333337
2017-06-30,1.9333333333333333
2017-09-30,3.2999999999999994
2017-12-31,5.866666666666667
2018-03-31,6.566666666666666
2018-06-30,5.1000000000000005
2018-09-30,5.3
2018-12-31,3.7000000000000006
2019-03-31,1.5
2019-06-30,3.0
2019-09-30,-0.3666666666666664
2019-12-31,-1.3666666666666665
2020-03-31,-3.766666666666666
2020-06-30,-35.766666666666666
2020-09-30,-5.533333333333334
2020-12-31,1.7
2021-03-31,6.8
2021-06-30,20.700000000000003
2021-09-30,9.633333333333333
2021-12-31,2.066666666666667
2022-03-31,1.8
2022-06-30,13.0
2022-09-30,1.5999999999999999
2022-12-31,2.8666666666666667
2023-03-31,4.566666666666666
2023-06-30,4.766666666666667
2023-09-30,7.833333333333333
2023-12-31,6.266666666666667
2024-03-31,5.1000000000000005
2024-06-30,5.466666666666666
2024-09-30,2.733333333333333
2024-12-31,4.133333333333334
2025-03-31,3.9333333333333336
2025-06-30,2.0
2025-09-30,4.333333333333333
2025-12-31,3.6
